ADDR_PCT_CD,ADDR_PCT_LOC,PCT_Latitude,PCT_Longitude,PCT-address
1,"(40.72036963073354, -74.00697059286948)",40.72036963,-74.00697059,16 Ericsson Place
5,"(40.716161832432185, -73.9973412392291)",40.71616183,-73.99734124,19 Elizabeth Street
6,"(40.73396013488687, -74.00541943468966)",40.73396013,-74.00541943,233 West 10 Street
7,"(40.716333733472666, -73.98373537818931)",40.71633373,-73.98373538,19 1/2 Pitt Street
9,"(40.72645784612457, -73.9878662973185)",40.72645785,-73.9878663,321 East 5 Street
10,"(40.742713745124725, -73.99863854897386)",40.74271375,-73.99863855,230 West 20th Street
13,"(40.736918136425025, -73.9828351352789)",40.73691814,-73.98283514,230 East 21st Street
14,"(40.753833297960995, -73.99499350829373)",40.7538333,-73.99499351,357 West 35th Street
17,"(40.75677043933922, -73.97078658076089)",40.75677044,-73.97078658,167 East 51st Street
18,"(40.76495046035137, -73.98510972891327)",40.76495046,-73.98510973,306 West 54th Street
19,"(40.76706383631843, -73.96382362425567)",40.76706384,-73.96382362,153 East 67th Street
20,"(40.7841806112339, -73.97498003821936)",40.78418061,-73.97498004,120 West 82nd Street
22,"(40.7831904424552, -73.96411320056892)",40.78319044,-73.9641132,86th St & Transverse Road
23,"(40.789088921183804, -73.94706617110121)",40.78908892,-73.94706617,164 East 102nd Street
24,"(40.79642980142048, -73.96732358534604)",40.7964298,-73.96732359,151 West 100th Street
25,"(40.80082374124075, -73.941057477156)",40.80082374,-73.94105748,120 East 119th Street
26,"(40.8147516695299, -73.95641009820797)",40.81475167,-73.9564101,520 West 126th Street
28,"(40.80880918887378, -73.95251549454694)",40.80880919,-73.95251549,2271-89 8th Avenue
30,"(40.828814472649974, -73.94371924483004)",40.82881447,-73.94371924,451 West 151st Street
32,"(40.81572920840865, -73.94535851495556)",40.81572921,-73.94535851,250 West 135th Street
33,"(40.840779431922705, -73.93570335990049)",40.84077943,-73.93570336,2207 Amsterdam Avenue
34,"(40.85144390730725, -73.93532726670936)",40.85144391,-73.93532727,4295 Broadway
40,"(40.8103019311195, -73.9251778387039)",40.81030193,-73.92517784,257 Alexander Avenue
41,"(40.816188670114435, -73.89563145265105)",40.81618867,-73.89563145,1035 Longwood Avenue
42,"(40.822417331527674, -73.91132867427281)",40.82241733,-73.91132867,830 Washington Avenue
43,"(40.82299324573377, -73.86990943617741)",40.82299325,-73.86990944,900 Fteley Avenue
44,"(40.8374996030678, -73.91956733869692)",40.8374996,-73.91956734,2 East 169th Street
45,"(40.83076354370002, -73.82725701562596)",40.83076354,-73.82725702,2877 Barkley Avenue
46,"(40.85404540190827, -73.90024412407934)",40.8540454,-73.90024412,2120 Ryer Avenue
47,"(40.88750684818312, -73.84751162452636)",40.88750685,-73.84751162,4111 Laconia Avenue
48,"(40.84400802199871, -73.90030866906812)",40.84400802,-73.90030867,450 Cross Bronx Expressway
49,"(40.85627197672979, -73.84437785511118)",40.85627198,-73.84437786,2121 Eastchester Road
50,"(40.883573536310564, -73.90231617136119)",40.88357354,-73.90231617,3450 Kingsbridge Avenue
52,"(40.86910163832917, -73.87966877414898)",40.86910164,-73.87966877,3016 Webster Avenue
60,"(40.57656320453601, -73.97629075999102)",40.5765632,-73.97629076,2951 West 8th Street
61,"(40.59411823491455, -73.9606058255302)",40.59411823,-73.96060583,2575 Coney Island Avenue
62,"(40.60245319371876, -74.00304781045752)",40.60245319,-74.00304781,1925 Bath Avenue
63,"(40.627969331628634, -73.94152894923569)",40.62796933,-73.94152895,1844 Brooklyn Avenue
66,"(40.62568012374885, -73.99135370046778)",40.62568012,-73.9913537,5822 16th Avenue
67,"(40.64878595691025, -73.95012220069114)",40.64878596,-73.9501222,2820 Snyder Avenue
68,"(40.6389684618347, -74.02267102204348)",40.63896846,-74.02267102,333 65th Street
69,"(40.648590035675916, -73.9050733060918)",40.64859004,-73.90507331,9720 Foster Avenue
70,"(40.63047594824568, -73.97374760254756)",40.63047595,-73.9737476,154 Lawrence Avenue
71,"(40.66459278053224, -73.94782778904653)",40.66459278,-73.94782779,421 Empire Boulevard
72,"(40.65830863973565, -74.00088080682947)",40.65830864,-74.00088081,830 4th Avenue
73,"(40.67093970816339, -73.91355965372408)",40.67093971,-73.91355965,1470 East New York Avenue
75,"(40.67130584784125, -73.88154411520895)",40.67130585,-73.88154412,1000 Sutter Avenue
76,"(40.68375601471829, -74.00027973749289)",40.68375601,-74.00027974,191 Union Street
77,"(40.67477930425844, -73.93039381739165)",40.6747793,-73.93039382,127 Utica Avenue
78,"(40.6809158407988, -73.97431618100607)",40.68091584,-73.97431618,65 6th Avenue
79,"(40.68882259530989, -73.94484450097922)",40.6888226,-73.9448445,263 Tompkins Avenue
81,"(40.68966987311494, -73.92445892206334)",40.68966987,-73.92445892,30 Ralph Avenue
83,"(40.698315463402416, -73.91787087321896)",40.69831546,-73.91787087,480 Knickerbocker Avenue
84,"(40.695551287899555, -73.9829209155518)",40.69555129,-73.98292092,301 Gold Street
88,"(40.69008408423431, -73.96049692978117)",40.69008408,-73.96049693,298 Classon Avenue
90,"(40.70633626986818, -73.95056301720975)",40.70633627,-73.95056302,211 Union Avenue
94,"(40.726804854812265, -73.95327696674485)",40.72680485,-73.95327697,100 Meserole Avenue
100,"(40.58618427131049, -73.81643057549543)",40.58618427,-73.81643058,92-24 Rockaway Beach Boulevard
101,"(40.602867159819866, -73.75008388692622)",40.60286716,-73.75008389,16-12 Mott Avenue
102,"(40.69877125202567, -73.83141826055392)",40.69877125,-73.83141826,87-34 118th Street
103,"(40.70708417839664, -73.79262334103858)",40.70708418,-73.79262334,Edward Byrne Ave.
104,"(40.70436838006768, -73.89365580493163)",40.70436838,-73.8936558,64-2 Catalpa Avenue
105,"(40.72622693166527, -73.73503078857172)",40.72622693,-73.73503079,92-08 222nd Street
106,"(40.682233725150844, -73.83973420710551)",40.68223373,-73.83973421,103-53 101st Street
107,"(40.730040256251016, -73.81059394663801)",40.73004026,-73.81059395,71-01 Parsons Boulevard
108,"(40.742950129724775, -73.95470316987974)",40.74295013,-73.95470317,5-47 50th Avenue
109,"(40.76229237535554, -73.82727919518538)",40.76229238,-73.8272792,37-05 Union Street
110,"(40.74519289999969, -73.87004413530936)",40.7451929,-73.87004414,94-41 43rd Avenue
111,"(40.760277656932615, -73.76759299517387)",40.76027766,-73.767593,45-06 215th Street
112,"(40.7223562512617, -73.85147242479329)",40.72235625,-73.85147242,68-40 Austin Street
113,"(40.679954789884555, -73.7758336822234)",40.67995479,-73.77583368,167-02 Baisley Boulevard
114,"(40.769427609617445, -73.91524305194923)",40.76942761,-73.91524305,34-16 Astoria Boulevard
115,"(40.75675851705548, -73.875483066717)",40.75675852,-73.87548307,92-15 Northern Boulevard
120,"(40.64454546906263, -74.07736673647211)",40.64454547,-74.07736674,78 Richmond Terrace
121,"(40.62364439030801, -74.1507421578311)",40.62364439,-74.15074216,970 Richmond Avenue
122,"(40.574197296933875, -74.10565920405676)",40.5741973,-74.1056592,2320 Hylan Boulevard
123,"(40.51194060489761, -74.24988601002299)",40.5119406,-74.24988601,116 Main Street